OBJECTID,MinReg_ID,Site_ID,Ftr_ID,Ftr_Name,Other_Name,Last_Updt,Ftr_Group,Ftr_Type,Commodity,Long_WGS84,Lat_WGS84,Pt_Def,Poly_Def,State,County,Loc_Scale,Loc_Date,Ref_Detail,Ref_ID,Remarks,Loc_Poly
1,Mr00067,NM00013,Mf00236,"Chino, Chino mine",Santa Rita mine (2); Santa Rita del Cobre (2),2021-04-14,Mine Feature,Open Pit Mine,copper (1); gold (1); molybdenum (1); silver (1),-108.0771,32.79,Location of the Chino Mine from imported GIS file,,NM,Grant,,2020,24k Points file,Horton and San Juan (2021),(1) McLemore and others (1996); (2) Kelley (2013),No
2,Mr00067,NM00013,Mo00243,"Chino, Santa Rita deposit",,2020-12-17,Mineral Occurrence,Deposit,copper; gold (1); indium (2); molybdenum; rhenium (3); silver,-108.0689,32.79,Approximate center of the grouped polygons,Approximate extent of the original extent of higher grade and thick ore as indicated on the map,NM,Grant,"Large (>1:24,000)",1966,"Page 214, Figure 5",Rose and Baltosser (1966),(1) Long (1995); (2) Werner and others (2017); (3) John and others (2017),Yes
3,Mr00067,NM00013,Mo00847,"Chino, Leach stockpiles",Main Lampbright leach stockpile; South Lampbright leach stockpile,2022-04-21,Mineral Occurrence,Stockpile,copper (1),-108.0371,32.791,Approximate center of the polygon,Approximate extent of the Main Lampbright Leach Stockpile and South Lampbright Leach Stockpile from the referenced map,NM,Grant,"Large (>1:24,000)",2016,Figure 2,"New Mexico Energy, Minerals and Natural Resources (2022)",(1) Freeport-McMoRan Inc. (2008-2022),Yes
4,Mr00067,NM00035,Mr00067,Santa Rita district,Central; Chino; San Juan,2021-06-30,Mineral Region,Mining District,copper; gold; indium (1); molybdenum; rhenium (2); silver,-108.0722,32.8,Approximate center of the polygon,Approximate extent of the mining district from imported GIS file,NM,Grant,,2017,Metals_districts shapefile,McLemore (2017),(1) Werner and others (2017); (2) John and others (2017),Yes
5,Mr00084,UT00005,Mr00084,Fish Springs district,,2021-06-30,Mineral Region,Mining District,copper (1); gold (1); indium (1); iron (1); lead; silver; zinc (1),-113.4667,39.85,Approximate center of the polygon,Location of Fish Springs district from imported GIS file,UT,Juab,,2018,Utah mining district GIS layer,Utah Geological Survey (2019),(1) Dyer and others (2014),Yes
6,Mr00084,UT00006,Mo00129,"West Desert, West Desert deposit",Main Zone; Deep Zone,2021-03-22,Mineral Occurrence,Deposit,copper; indium; iron; zinc,-113.4687,39.86,Approximate center of the polygon,Approximate extent of the zinc deposit footprint from the map,UT,Juab,"Large (>1:24,000)",2014,"Page 45, Figure 7.4",Dyer and others (2014),,Yes
7,Mr00077,UT00011,Mf00022,"Bingham, Barneys Canyon mine",,2022-06-07,Mine Feature,Open Pit Mine,gold,-112.1346,40.5973,Location of the Barneys Canyon site from imported GIS file,,UT,Salt Lake,,2021,UMOS_2021_05_05 file,Utah Geological Survey (2021),,No
8,Mr00077,UT00011,Mf00023,"Bingham, Melco mine",,2022-04-18,Mine Feature,Open Pit Mine,gold,-112.1575,40.5865,Location of the Melco site from imported GIS file,,UT,Salt Lake,,2021,UMOS_2021_05_05 file,Utah Geological Survey (2021),,No
9,Mr00077,UT00011,Mf00025,"Bingham, Bingham Pb-Zn-Ag mines",Armstrong (1); Highland Boy mine (1); U.S. and Lark mine (1); Utah Apex mine (1),2022-04-18,Mine Feature,Underground Workings,copper; gold; lead; silver; zinc,-112.1584,40.5081,Location of the U.S. Mine site from imported GIS file,,UT,Salt Lake,,2021,UMOS_2021_05_05 file,Utah Geological Survey (2021),(1) James (1973),No
10,Mr00077,UT00011,Mf00235,"Bingham, Bingham Canyon mine",Bingham open pit mine; Utah copper,2022-04-18,Mine Feature,Open Pit Mine,copper; gold; molybdenum; silver,-112.1478,40.5232,Location of the Bingham open pit mine from imported GIS file,,UT,Salt Lake,,2021,UMOS_2021_05_05 file,Utah Geological Survey (2021),,No
11,Mr00077,UT00011,Mf00274,"Bingham, Carr Fork mine",,2022-04-18,Mine Feature,Underground Workings,copper; gold; silver,-112.1911,40.5313,Location of the Carr Fork Mine from imported GIS file,,UT,Tooele,,2021,UMOS_2021_05_05 file,Utah Geological Survey (2021),,No
12,Mr00077,UT00011,Mo00088,"Bingham, Barneys Canyon deposit",,2022-06-07,Mineral Occurrence,Deposit,gold,-112.1346,40.5973,Location of the Barneys Canyon site from imported GIS file,,UT,Salt Lake,,2021,UMOS_2021_05_05 file,Utah Geological Survey (2021),,No
13,Mr00077,UT00011,Mo00091,"Bingham, Melco deposit",,2022-04-18,Mineral Occurrence,Deposit,gold,-112.1575,40.5865,Location of the Melco site from imported GIS file,,UT,Salt Lake,,2021,UMOS_2021_05_05 file,Utah Geological Survey (2021),,No
14,Mr00077,UT00011,Mo00130,"Bingham, Bingham polymetallic Pb-Zn-Cu-Ag-Au veins",,2022-06-07,Mineral Occurrence,Deposit,copper; gold; lead; silver; zinc,-112.1584,40.5081,Location of the U.S. Mine site from imported GIS file,Approximate extent of the blue polygons from the map (1),UT,Salt Lake,,2021,UMOS_2021_05_05 file,Utah Geological Survey (2021),(1) Krahulec (2018a),Yes
15,Mr00077,UT00011,Mo00284,"Bingham, Bingham porphyry Cu deposit",,2021-05-24,Mineral Occurrence,Deposit,copper; gold; indium (1); lead (4); molybdenum; platinum-group elements (2); rhenium (3); silver; zinc (4),-112.1485,40.5179,Approximate center of the polygon,Approximate extent of red polygon from the map,UT,Salt Lake,"Medium (1:24,000-1:250,000)",2018,"Page 5, Figure 2",Krahulec (2018a),(1) Werner and others (2017); (2) John and Taylor (2016); (3) John and others (2017); (4) Mutschler and others (1999),Yes
16,Mr00077,UT00011,Mo00352,"Bingham, Bingham skarn deposit",Cu-Au skarn; Carr Fork deposit; Fortuna deposit; North Ore Shoot deposit; North Rim skarn deposit,2021-05-23,Mineral Occurrence,Deposit,copper; gold; silver,-112.1594,40.5289,Approximate center of the polygon,Approximate extent of orange polygon from the map,UT,Salt Lake,"Large (>1:24,000)",2018,"Page 5, Figure 2",Krahulec (2018a),,Yes
