OBJECTID *,Shape *,Site_ID *,Ftr_ID *,Ftr_Name,Other_Name,Last_Updt,Ftr_Group,Ftr_Type,Commodity,Lat_WGS84,Long_WGS84,Pt_Def,Poly_Def,State,County,Loc_Scale,Loc_Date,Ref_Detail,Ref_ID,Remarks,Loc_Poly
1,Point,AK00022,Mf00237,"Bokan Mountain, Ross-Adams Mine",<Null>,1/17/2018,Mine Feature,Open Pit Mine,uranium,54.90976,-132.13922,GPS location from USGS Authors (2018),<Null>,AK,Prince of Wales-Hyder,"Large (>1:24,000)",2018,<Null>,USGS Authors (2018),<Null>,No
2,Point,AK00022,Mo00219,"Bokan Mountain, Cheri",<Null>,1/17/2018,Mineral Occurrence,Deposit,rare earth elements,54.893,-132.102,GPS location from USGS Authors (2018),<Null>,AK,Prince of Wales-Hyder,"Large (>1:24,000)",2018,<Null>,USGS Authors (2018),<Null>,No
3,Point,AK00022,Mo00244,"Bokan Mountain, Geiger",<Null>,1/17/2018,Mineral Occurrence,Deposit,rare earth elements,54.95128,-132.17475,GPS location from USGS Authors (2018),<Null>,AK,Prince of Wales-Hyder,"Large (>1:24,000)",2018,<Null>,USGS Authors (2018),<Null>,No
4,Point,AK00022,Mo00245,"Bokan Mountain, Geoduck Zone",<Null>,1/17/2018,Mineral Occurrence,Deposit,rare earth elements; thorium,54.89361,-132.09172,GPS location from USGS Authors (2018),<Null>,AK,Prince of Wales-Hyder,"Large (>1:24,000)",2018,<Null>,USGS Authors (2018),<Null>,No
5,Point,AK00022,Mo00246,"Bokan Mountain, I&L Zone",<Null>,1/17/2018,Mineral Occurrence,Deposit,rare earth elements,54.91307,-132.13548,GPS location from USGS Authors (2018),<Null>,AK,Prince of Wales-Hyder,"Large (>1:24,000)",2018,<Null>,USGS Authors (2018),<Null>,No
6,Point,AK00022,Mo00247,"Bokan Mountain, Ross-Adams",<Null>,1/17/2018,Mineral Occurrence,Deposit,uranium; rare earth elements; thorium,54.90976,-132.13922,GPS location from USGS Authors (2018),<Null>,AK,Prince of Wales-Hyder,"Large (>1:24,000)",2018,<Null>,USGS Authors (2018),<Null>,No
7,Point,AK00022,Mo00248,"Bokan Mountain, Sunday Lake Zone",<Null>,1/17/2018,Mineral Occurrence,Deposit,rare earth elements,54.92367,-132.17961,GPS location from USGS Authors (2018),<Null>,AK,Prince of Wales-Hyder,"Large (>1:24,000)",2018,<Null>,USGS Authors (2018),<Null>,No
8,Point,AK00022,Mo00250,"Bokan Mountain, Upper Cheri",<Null>,1/17/2018,Mineral Occurrence,Deposit,rare earth elements,54.889,-132.104,GPS location from USGS Authors (2018),<Null>,AK,Prince of Wales-Hyder,"Large (>1:24,000)",2018,<Null>,USGS Authors (2018),<Null>,No
9,Point,AK00022,Mo00252,"Bokan Mountain, Dotson Zone",<Null>,1/17/2018,Mineral Occurrence,Deposit,rare earth elements,54.90939,-132.12719,GPS location from USGS Authors (2018),<Null>,AK,Prince of Wales-Hyder,"Large (>1:24,000)",2018,<Null>,USGS Authors (2018),<Null>,No
10,Point,AK00022,Mo00294,"Bokan Mountain, Wennie",<Null>,1/17/2018,Mineral Occurrence,Prospect,rare earth elements,54.91939,-132.18117,GPS location from USGS Authors (2018),<Null>,AK,Prince of Wales-Hyder,"Large (>1:24,000)",2018,<Null>,USGS Authors (2018),<Null>,No
11,Point,AK00022,Mo00554,"Bokan Mountain, I, L, and M","ILM; I, L, and M Nos. 1-3",1/17/2018,Mineral Occurrence,Deposit,niobium; rare earth elements; thorium; uranium; zirconium,54.91401,-132.14545,GPS location from USGS Authors (2018),<Null>,AK,Prince of Wales-Hyder,"Large (>1:24,000)",2018,<Null>,USGS Authors (2018),<Null>,No
12,Point,AK00022,Mo00555,"Bokan Mountain, Irene-D",<Null>,1/17/2018,Mineral Occurrence,Prospect,niobium; rare earth elements; uranium; yttrium; zirconium; ,54.922,-132.133,GPS location from USGS Authors (2018),<Null>,AK,Prince of Wales-Hyder,"Large (>1:24,000)",2018,<Null>,USGS Authors (2018),<Null>,No
13,Point,AK00022,Mo00556,"Bokan Mountain, Little Jim and Little Joe",Little Joe No. 1; Little Joe No. 2,1/17/2018,Mineral Occurrence,Prospect,niobium; rare earth elements; thorium; titanium; uranium; zirconium; hafnium,54.92252,-132.1561,GPS location from USGS Authors (2018),<Null>,AK,Prince of Wales-Hyder,"Large (>1:24,000)",2018,<Null>,USGS Authors (2018),<Null>,No
14,Point,AK00022,Mo00557,"Bokan Mountain, Boots",<Null>,1/17/2018,Mineral Occurrence,Prospect,rare earth elements; thorium; uranium ,54.93773,-132.17624,GPS location from USGS Authors (2018),<Null>,AK,Prince of Wales-Hyder,"Large (>1:24,000)",2018,<Null>,USGS Authors (2018),<Null>,No
15,Point,AK00022,Mo00565,"Bokan Mountain, Shore",<Null>,1/12/2018,Mineral Occurrence,Showing,niobium; uranium; thorium; rare earth elements; zirconium; zinc; titanium; beryllium; tin; tantalum; lead; strontium,54.896005,-132.093519,Mine or prospect location,<Null>,AK,Prince of Wales-Hyder,"Large (>1:24,000)",1963,Plate 1,MacKevett (1963),<Null>,No
16,Point,AK00031,Mo00627,"Draken Claims, Silver Lining Prospect",<Null>,2/7/2018,Mineral Occurrence,Showing,gold; thorium; tungsten; uranium; rare earth elements; silver; arsenic; copper; lead; tungsten,63.647257,-142.29133,Point from Figure 5,<Null>,AK,Southeast Fairbanks,"Large (>1:24,000)",2009,Figure 5,Adams (2009),<Null>,No
17,Point,AK00057,Mo00471,"Salmon Bay, Salmon Bay Prospect",<Null>,1/17/2018,Mineral Occurrence,Prospect,rare earth elements,56.31915,-133.17145,GPS location from USGS Authors (2018),<Null>,AK,Prince of Wales-Hyder,"Large (>1:24,000)",2018,<Null>,USGS Authors (2018),<Null>,No
18,Point,AK00089,Mo00497,"Dora Bay, Dora Bay Occurrence",<Null>,11/15/2017,Mineral Occurrence,Showing,rare earth elements,55.1683,-132.2439,Location coordinates taken from Appendix A,<Null>,AK,Prince of Wales-Outer Ketchikan,<Null>,2002,Page 64,Orris and Grauch (2002),<Null>,No
19,Point,AK00092,Mo00583,"Aichilik River, Aichilik River Showing",<Null>,2/8/2018,Mineral Occurrence,Showing,rare earth elements,69.529824,-143.15274,Point placed on coordinates from page 57 of Cobb (1975b),<Null>,AK,North Slope,"Medium (1:24,000-1:250,000)",1975,Page 57,Cobb (1975b),<Null>,No
20,Point,AK00098,Mo00626,"Boston Ridge, Boston Ridge Prospect",<Null>,1/18/2018,Mineral Occurrence,Prospect,rare earth elements; thorium; uranium,66.22864,-155.805782,Latitude and longitude from Alaska Resource Data File,<Null>,AK,Yukon-Koyukuk,<Null>,2018,<Null>,U.S. Geological Survey (2018),<Null>,No
21,Point,AK00101,Mo00599,"Cape Darby, Cape Darby Showing",<Null>,1/19/2018,Mineral Occurrence,Showing,rare earth elements; uranium; tungsten,64.384265,-162.7986,"Point placed at the sample location for Cape Darby from Figure 1 Geologic Map of The Southern And Eastern Part Of The Darby Mountains, Seward Peninsula, Alaska",<Null>,AK,Nome,"Medium (1:24,000-1:250,000)",1953,Plate 1,West (1953),<Null>,No
22,Point,AK00102,Mo00603,"Clear Creek, Clear Creek Showing",<Null>,1/24/2018,Mineral Occurrence,Showing,rare earth elements; uranium,64.838292,-162.303618,"Point placed at the sample location for Clear Creek from Figure 1 Geologic Map of The Southern And Eastern Part Of The Darby Mountains, Seward Peninsula, Alaska",<Null>,AK,Nome,"Medium (1:24,000-1:250,000)",1953,Plate 1,West (1953),<Null>,No
