"OBJECTID","Site_ID","Ftr_ID","Ftr_Name","Other_Name","Last_Updt","Ftr_Group","Ftr_Type","Commodity","Lat_WGS84","Long_WGS84","Pt_Def","Poly_Def","State","County","Loc_Scale","Loc_Date","Ref_Detail","Ref_ID","Remarks","Loc_Poly"
1,"AK00023","Mo00237","Pebble, East Zone",NA,"2017-06-06","Mineral Occurrence","Deposit","rhenium; copper; gold; molybdenum; tellurium; platinum-group elements; selenium",59.897977,-155.270522,"Approximate center of polygon","Limit of estimated resources","AK","Lake and Peninsula","Large (>1:24,000)","2014","Figure 7.3.1","Gaunt and others (2014)",NA,"Yes"
2,"AK00023","Mo00238","Pebble, West Zone",NA,"2017-06-06","Mineral Occurrence","Deposit","rhenium; copper; gold; molybdenum; tellurium; platinum-group elements; selenium",59.898776,-155.298105,"Approximate center of polygon","Limit of estimated resources","AK","Lake and Peninsula","Large (>1:24,000)","2014","Figure 7.3.1","Gaunt and others (2014)",NA,"Yes"
3,"AK00048","Mo00265","Quartz Hill",NA,"2017-07-12","Mineral Occurrence","Deposit","molybdenum; rhenium",55.406331,-130.479336,"Approximate center of polygon","Quartz Hill deposit as defined by +0.05% MoS2 values","AK","Ketchikan Gateway","Medium (1:24,000-1:250,000)","1995","Figure 2","Wolfe (1995)",NA,"Yes"
4,"AZ00011","Mf00230","Bagdad Mine",NA,"2017-06-05","Mine Feature","Open Pit Mine","rhenium; copper; molybdenum; gold; silver",34.584346,-113.21008,"Center of pit on imagery",NA,"AZ","Yavapai","Large (>1:24,000)","2015","World Imagery","Esri World Imagery (2018)",NA,"No"
5,"AZ00011","Mo00234","Bagdad",NA,"2017-06-19","Mineral Occurrence","Deposit","rhenium; copper; molybdenum; osmium; gold; silver",34.584525,-113.208792,"Approximate center of polygon","Boundary of 0.5% plus copper (sulfide and oxide)","AZ","Yavapai","Large (>1:24,000)","1950","Figure 2","Anderson (1950)",NA,"Yes"
6,"AZ00012","Mf00231","Morenci Mine",NA,"2017-06-05","Mine Feature","Open Pit Mine","rhenium; copper; gold; silver; molybdenum",33.096508,-109.360288,"Center of surface workings on imagery",NA,"AZ","Greenlee","Large (>1:24,000)","2015","World Imagery","Esri World Imagery (2018)",NA,"No"
7,"AZ00012","Mo00236","Morenci",NA,"2017-09-07","Mineral Occurrence","Deposit","copper; rhenium; molybdenum; silver; osmium; gold",33.133949,-109.365751,"Approximate center of polygon","Outline of ore","AZ","Greenlee","Medium (1:24,000-1:250,000)","1982","Figure 11","Langton (1972)",NA,"Yes"
8,"AZ00013","Mf00234","Sierrita Mine","Sierrita-Esperanza Mine","2017-06-09","Mine Feature","Open Pit Mine","copper; molybdenum; rhenium",31.869453,-111.133187,"Center of pit on imagery",NA,"AZ","Pima","Large (>1:24,000)","2015","World Imagery","Esri World Imagery (2018)",NA,"No"
9,"AZ00013","Mo00239","Sierrita",NA,"2017-07-28","Mineral Occurrence","Deposit","rhenium; copper; molybdenum; osmium",31.871642,-111.138612,"Approximate center of polygon","0.2 to 1.0% Copper Equivalent Values","AZ","Pima","Large (>1:24,000)","1982","Figure 21.10","West and Aiken (1982)",NA,"Yes"
10,"AZ00016","Mr00011","Pima District",NA,"2017-09-07","Mineral Region","Mining District","copper; lead; zinc; molybdenum; gold; silver; rhenium (1); osmium (1); tungsten",31.957049,-111.093927,"Approximate center of polygon","Mineral district from database","AZ","Pima",NA,"2002",NA,"Richard (2002)","(1) McCandless and Ruiz (1993)","Yes"
11,"AZ00020","Mf00251","Castle Dome Mine",NA,"2017-07-24","Mine Feature","Open Pit Mine","rhenium; copper; gold; silver; turquoise",33.410798,-110.964267,"Center of open pit",NA,"AZ","Gila","Large (>1:24,000)","1951","Figure 4","Peterson and others (1951)",NA,"No"
12,"AZ00020","Mf00252","Pinto Valley Mine",NA,"2017-07-25","Mine Feature","Open Pit Mine","copper; molybdenum; silver",33.411425,-110.964953,"Center of open pit on imagery",NA,"AZ","Gila","Large (>1:24,000)","2015","World Imagery","Esri World Imagery (2018)",NA,"No"
