OBJECTID,Site_ID,Ftr_ID,Ftr_Name,Other_Name,Last_Updt,Ftr_Group,Ftr_Type,Commodity,Lat_WGS84,Long_WGS84,Pt_Def,Poly_Def,State,County,Loc_Scale,Loc_Date,Ref_Detail,Ref_ID,Remarks,Loc_Poly
1,AK00001,Mr00082,Port Clarence District,,2018-04-03,Mineral Region,Mineral District,tin; tungsten; gold; tantalum; niobium,65.652905,-166.481008,Approximate center of polygon,Mining district boundary,AK,Nome,,2005,,Alaska Department of Natural Resources (2006),Imported from an alternate source,Yes
2,AK00002,Mr00085,Aniak District,,2018-04-03,Mineral Region,Mineral District,tin; copper; silver; zinc; cerium; lanthanum; samarium; thorium; uranium; tungsten; zirconium; gold; mercury; lead,61.31704,-157.800747,Approximate center of polygon,Mining district boundary,AK,Bethel,,2005,,Alaska Department of Natural Resources (2006),Imported from an alternate source,Yes
3,AK00003,Mf00533,Goodwin Gulch,Goodwin Creek,2018-04-03,Mine Feature,Placer Mine,tin,65.587754,-167.919234,Approximate centroid of mined area on map,,AK,Nome,"Large (>1:24,000)",1959,"Page 68, Figure 38",Mulligan and Thorne (1959),Deposit and placer mine are represented by the same point location,No
4,AK00003,Mo00688,Goodwin Gulch,Goodwin Creek,2018-04-03,Mineral Occurrence,Deposit,tin,65.587754,-167.919234,Approximate centroid of mined area on map,Mined extent from map,AK,Nome,"Large (>1:24,000)",1959,"Page 68, Figure 38",Mulligan and Thorne (1959),Deposit and placer mine are represented by the same point location,Yes
5,AK00004,Mr00087,Circle District,,2018-04-03,Mineral Region,Mineral District,tin; rare earth elements; thorium; uranium; tungsten,65.460342,-144.445245,Approximate center of polygon,Mining district boundary,AK,Yukon-Koyukuk,,2005,,Alaska Department of Natural Resources (2006),Imported from an alternate source,Yes
6,AK00005,Mf00354,Lost River Mine,Cassiterite Dike,2018-03-14,Mine Feature,Portal Mine,tin; tungsten,65.475309,-167.158581,Approximate location from map,,AK,Nome,"Medium (1:24,000-1:250,000)",1958,"Page 19, Figure 4",Lorain and others (1958),,No
7,AK00005,Mo00527,Cassiterite Dike,,2018-04-03,Mineral Occurrence,Deposit,tin; tungsten; fluorine; beryllium,65.475411,-167.16275,Approximate intersection of the Cassiterite Dike and Cassiterite Creek within the polygon for the deposit from the map,Extent of dike from map,AK,Nome,"Large (>1:24,000)",1964,Plate 2,Sainsbury (1964),,Yes
8,AK00005,Mo00528,Ida Bell Dike,,2018-04-03,Mineral Occurrence,Deposit,tin; tungsten,65.47622,-167.166545,Approximate intersection of the Ida Bell Dike and the Cassiterite Dike on the map,Extent of dike from map,AK,Nome,"Large (>1:24,000)",1964,Plate 2,Sainsbury (1964),,Yes
9,AK00006,Mr00088,Melozitna District,,2018-05-04,Mineral Region,Mineral District,tin; gold; silver; rare earth elements; niobium; titanium; tungsten; zirconium; tantalum,65.533644,-152.652649,Approximate center of polygon,Mining district boundary,AK,Yukon-Koyukuk,,2005,,Alaska Department of Natural Resources (2006),Imported from an alternate source,Yes
10,AK00007,Mr00089,Hot Springs District,,2018-05-03,Mineral Region,Mineral District,tin; gold; silver; rare earth elements; niobium; uranium; niobium; zirconium; phosphorus pentoxide; titanium,64.857125,-151.376243,Approximate center of polygon,Mining district boundary,AK,Yukon-Koyukuk,,2005,,Alaska Department of Natural Resources (2006),Imported from an alternate source,Yes
