OBJECTID,MinReg_ID,Site_ID,Ftr_ID,Ftr_Name,Other_Name,Last_Updt,Ftr_Group,Ftr_Type,Commodity,Lat_WGS84,Long_WGS84,Pt_Def,Poly_Def,State,County,Loc_Scale,Loc_Date,Ref_Detail,Ref_ID,Remarks,Loc_Poly
1,Mr00082,AK00001,Mr00082,Port Clarence District,<Null>,8/2/2020,Mineral Region,Mining District,beryllium (1); fluorspar (2); tin (2); tungsten (2),65.5323,-167.103,Approximate center of the polygon,Approximate extent of the mining district from imported GIS file,AK,Nome,<Null>,2020,AKDGGS mining district feature layer,Alaska Department of Geological and Geophysical Surveys (2020),Imported data from Alaska Division of Geological and Geophysical Surveys; (1) Aleksandrov (2010); (2) Swainbank and others (2002),Yes
2,Mr00082,AK00005,Mf00354,"Lost River, Lost River mine",<Null>,7/9/2020,Mine Feature,Underground Workings,tin,65.4752,-167.1601,Approximate location of the Devereux adit on the map,<Null>,AK,Nome,"Large (>1:24,000)",1964,Plate 2,Sainsbury (1964),ARDF no. TE033 - Alaska Resource Data File (2020),No
3,Mr00082,AK00005,Mf00423,"Lost River, Cassiterite Creek placer mine",<Null>,7/10/2020,Mine Feature,Placer Mine,tin,65.4666,-167.1689,"Coordinates provided from source document, adjusted to place point in Cassiterite Creek using imagery (1)",<Null>,AK,Nome,<Null>,1985,"Page 16, Table A-2",Warner (1985),ARDF no. TE046 - Alaska Resource Data File (2020); (1) Esri (2020a),No
4,Mr00082,AK00005,Mo00404,"Lost River, Ida Bell dike deposit",<Null>,8/2/2020,Mineral Occurrence,Deposit,tin; tungsten,65.4765,-167.1665,Approximate intersection of the Cassiterite dike deposit and the Ida Bell dike deposit,Approximate length of the Ida Bell dike on the map geoprocessed with a buffer of the approximate width of the dike (28.5 feet),AK,Nome,"Large (>1:24,000)",1964,Plate 2,Sainsbury (1964),ARDF no. TE051 - Alaska Resource Data File (2020),Yes
5,Mr00082,AK00005,Mo00405,"Lost River, Lost River skarn deposit",<Null>,7/9/2020,Mineral Occurrence,Deposit,beryllium; fluorspar; tin; tungsten,65.4748,-167.1615,Approximate location of the Tungsten Lode label on the map,<Null>,AK,Nome,"Large (>1:24,000)",1964,Plate 2,Sainsbury (1964),ARDF no. TE049 - Alaska Resource Data File (2020),No
6,Mr00082,AK00005,Mo00434,"Lost River, Cassiterite Creek placer deposit",<Null>,7/10/2020,Mineral Occurrence,Deposit,tin,65.4666,-167.1689,"Coordinates provided from source document, adjusted to place point in Cassiterite Creek using imagery (1)",<Null>,AK,Nome,<Null>,1985,"Page 16, Table A-2",Warner (1985),ARDF no. TE046 - Alaska Resource Data File (2020); (1) Esri (2020a),No
7,Mr00082,AK00005,Mo00527,"Lost River, Cassiterite dike deposit",<Null>,8/3/2020,Mineral Occurrence,Deposit,tin; tungsten,65.4752,-167.1601,Approximate location of the Devereux adit on the map,Approximate length of the Cassiterite dike on the map geoprocessed with a buffer of the approximate width of the dike (12 feet),AK,Nome,"Large (>1:24,000)",1964,Plate 2,Sainsbury (1964),ARDF no. TE033 - Alaska Resource Data File (2020),Yes
8,Mr00013,AK00011,Mr00013,Bristol Bay Region,<Null>,8/2/2020,Mineral Region,Mining District,copper (1); gold (1); molybdenum (1); platinum-group elements (2); rhenium (3); silver (1); tin (4); tungsten (4),59.2286,-157.4998,Approximate center of the polygon,Approximate extent of the mining district from imported GIS file,AK,Bethel; Bristol Bay; Dillingham; Kenai Peninsula; Kodiak Island; Lake and Peninsula,<Null>,2020,AKDGGS mining district feature layer,Alaska Department of Geological and Geophysical Surveys (2020),Imported data from Alaska Division of Geological and Geophysical Surveys; (1) Gaunt and others (2014); (2) John and Taylor (2016); (3) John and others (2017); (4) Burleigh (1991),Yes
9,Mr00058,AK00014,Mr00058,Nome District,<Null>,8/2/2020,Mineral Region,Mining District,gold (1); graphite (2); tungsten (1),64.7248,-165.3175,Approximate center of the polygon,Approximate extent of the mining district from imported GIS file,AK,Nome,<Null>,2020,AKDGGS mining district feature layer,Alaska Department of Geological and Geophysical Surveys (2020),Imported data from Alaska Division of Geological and Geophysical Surveys; (1) Hudson and DeYoung (1978); (2) King and others (2019),Yes
10,Mr00059,AK00015,Mr00059,Juneau District,Juneau gold belt,8/2/2020,Mineral Region,Mining District,copper (1); gold (1); iron (2); platinum-group elements (3); silver (1); titanium (2); tungsten (1); vanadium (2),58.7587,-135.162,Approximate center of the polygon,Approximate extent of the mining district from imported GIS file,AK,Haines; Hoonah-Angoon; Juneau; Skagway,<Null>,2020,AKDGGS mining district feature layer,Alaska Department of Geological and Geophysical Surveys (2020),Imported data from Alaska Division of Geological and Geophysical Surveys; (1) Still (1991); (2) Fischer (1975); (3) Page and others (1973),Yes
11,Mr00060,AK00016,Mr00060,Goodpaster District,<Null>,8/2/2020,Mineral Region,Mining District,tungsten (1),64.0531,-144.2655,Approximate center of the polygon,Approximate extent of the mining district from imported GIS file,AK,Fairbanks North Star; Southeast Fairbanks ,<Null>,2020,AKDGGS mining district feature layer,Alaska Department of Geological and Geophysical Surveys (2020),Imported data from Alaska Division of Geological and Geophysical Surveys; (1) U.S. Bureau of Mines (1979),Yes
12,Mr00135,AK00031,Mr00135,Iditarod District,<Null>,8/2/2020,Mineral Region,Mining District,antimony (1); arsenic (1); gold (1); lead (1); silver (1); tungsten (1); zinc (1),62.662,-158.7769,Approximate center of the polygon,Approximate extent of the mining district from imported GIS file,AK,Bethel; Yukon-Koyukuk ,<Null>,2020,AKDGGS mining district feature layer,Alaska Department of Geological and Geophysical Surveys (2020),Imported data from Alaska Division of Geological and Geophysical Surveys; (1) Bundtzen and others (1992),Yes
